ticker,eps_g1,eps_g2,eps_g3
ACU,0.7494252873563219,0.3640692640692641,0.3474025974025974
AJG,0.4117647058823528,0.3636363636363636,0.3620689655172415
ATHX,0.6041666666666667,0.5208333333333335,0.388888888888889
BBIO,0.8024509803921569,0.6861364264015466,0.3162612035851473
CELC,0.3888888888888889,0.263157894736842,0.2352941176470586
CLX,0.707784095804256,0.6631162507608034,0.3067876344086021
CRL,0.5624894300693386,0.4565691158156911,0.2208230958230958
CRMT,0.5573770491803278,0.5249999999999999,0.2805429864253394
CZWI,0.9805194805194806,0.7874692874692876,0.6561561561561563
DHI,0.8448275862068968,0.6641791044776119,0.365079365079365
DISH,0.8115942028985509,0.3030303030303029,0.3000000000000001
ENSG,0.6938775510204082,0.6041666666666667,0.4313725490196078
ENTG,0.7166666666666667,0.2413919413919413,0.2122252747252747
EVBG,0.8421052631578946,0.7948717948717947,0.5135135135135137
FATE,0.6789473684210527,0.3361111111111111,0.2194444444444444
FFWM,0.642191142191142,0.5989010989010988,0.2942857142857142
FIZZ,0.4575289575289576,0.4396718146718147,0.2149470899470899
FNV,0.5333333333333334,0.5,0.4705882352941175
GLPI,0.4150943396226414,0.3809523809523809,0.2093023255813954
HWKN,0.4886363636363635,0.2455533596837944,0.2089371980676329
IDXX,0.914285714285714,0.3629032258064515,0.2027972027972028
IROQ,0.4166666666666667,0.2916666666666667,0.2462121212121212
K,0.4047619047619047,0.4027777777777778,0.2142857142857143
LRCX,0.7733354090596016,0.5778831798666555,0.2324302453283568
NOMD,0.5652173913043477,0.5454545454545455,0.2962962962962961
OLP,0.6941666666666668,0.5900000000000001,0.2763157894736842
RPD,0.931034482758621,0.7241379310344829,0.4999999999999998
SRRK,0.975,0.4363636363636363,0.3541666666666667
UFPI,0.6721311475409837,0.4880952380952381,0.2272727272727273
UI,0.7202797202797203,0.4356435643564356,0.2800000000000001
VRCA,0.7137096774193549,0.5535714285714285,0.3285714285714285
WD,0.5635402126060345,0.3302050089251906,0.2690539297885
WST,0.5058823529411766,0.4533333333333334,0.3749999999999999
